Wed Oct 30 10:13:48 2024: Hive (C:\1\NTUSER.DAT) is not dirty.

Wed Oct 30 10:13:48 2024: Log opened.
Wed Oct 30 10:13:48 2024: File: C:\1\NTUSER.DAT
Wed Oct 30 10:13:50 2024: Launching injectdll64 v.20200911
Wed Oct 30 10:13:50 2024: Launching installelevated v.20230703
Wed Oct 30 10:13:50 2024: Launching jumplistdata v.20200927
Wed Oct 30 10:13:50 2024: Launching knowndev v.20200927
Wed Oct 30 10:13:50 2024: Launching  link_click v.20200730
Wed Oct 30 10:13:50 2024: Launching listsoft v.20201005
Wed Oct 30 10:13:50 2024: Launching load v.20200921
Wed Oct 30 10:13:50 2024: Launching locale v.20220225
Wed Oct 30 10:13:50 2024: Launching logonstats v.20200925
Wed Oct 30 10:13:50 2024: Launching lxss v.20200927
Wed Oct 30 10:13:50 2024: Launching mixer v.20200922
Wed Oct 30 10:13:50 2024: Launching mmc v.20200922
Wed Oct 30 10:13:50 2024: Launching mmo v.20200922
Wed Oct 30 10:13:50 2024: Launching mndmru v.20200922
Wed Oct 30 10:13:50 2024: Launching mp2 v.20200921
Wed Oct 30 10:13:50 2024: Launching mpmru v.20200921
Wed Oct 30 10:13:50 2024: Launching  msoffice v.20210710
Wed Oct 30 10:13:50 2024: Launching muicache v.20221121
Wed Oct 30 10:13:50 2024: Launching nation v.20200921
Wed Oct 30 10:13:50 2024: Launching notif v.20200926
Wed Oct 30 10:13:50 2024: Launching office_test v.20230403
Wed Oct 30 10:13:50 2024: Launching oisc v.20220530
Wed Oct 30 10:13:50 2024: Launching onedrive v.20200922
Wed Oct 30 10:13:50 2024: Launching  onenote v.20230306
Wed Oct 30 10:13:50 2024: Launching osversion v.20200921
Wed Oct 30 10:13:50 2024: Launching outlook_attach v.20210504
Wed Oct 30 10:13:50 2024: Launching  outlookhomepage v.20201103
Wed Oct 30 10:13:51 2024: Launching outlookmacro v.20201212
Wed Oct 30 10:13:51 2024: Launching pendinggpos v.20200922
Wed Oct 30 10:13:51 2024: Launching persistconn v.20230109
Wed Oct 30 10:13:51 2024: Launching profiler v.20200922
Wed Oct 30 10:13:51 2024: Launching  protectedview v.20220301
Wed Oct 30 10:13:51 2024: Launching pslogging v.20200922
Wed Oct 30 10:13:51 2024: Launching psscript v.20200922
Wed Oct 30 10:13:51 2024: Launching putty v.20200924
Wed Oct 30 10:13:51 2024: Launching recentapps v.20200922
Wed Oct 30 10:13:51 2024: Launching recentdocs v.20200924
Wed Oct 30 10:13:51 2024: Launching  resiliency v.20210325
Wed Oct 30 10:13:51 2024: Launching restartmanager v.20210111
Wed Oct 30 10:13:51 2024: Launching run v.20220706
Wed Oct 30 10:13:51 2024: Launching rundisabled v.20220706
Wed Oct 30 10:13:51 2024: Launching runmru v.20201005
Wed Oct 30 10:13:51 2024: Launching runvirtual v.20220425
Wed Oct 30 10:13:51 2024: Launching screensaver v.20220427
Wed Oct 30 10:13:51 2024: Launching screenshotindex v.20230713
Wed Oct 30 10:13:51 2024: Launching searchscopes v.20201005
Wed Oct 30 10:13:51 2024: Launching sevenzip v.20220704
Wed Oct 30 10:13:51 2024: Launching shc v.20201005
Wed Oct 30 10:13:51 2024: Launching shellfolders v.20201005
Wed Oct 30 10:13:51 2024: Launching speech v.20201005
Wed Oct 30 10:13:51 2024: Launching staginginfo v.20210407
Wed Oct 30 10:13:51 2024: Launching storagesense v.20201230
Wed Oct 30 10:13:51 2024: Launching sysinternals v.20220824
Wed Oct 30 10:13:51 2024: Launching thostperms v.20201015
Wed Oct 30 10:13:51 2024: Launching tsclient v.20200924
Wed Oct 30 10:13:51 2024: Launching typedpaths v.20201005
Wed Oct 30 10:13:51 2024: Launching typedurls v.20201012
Wed Oct 30 10:13:51 2024: Launching typedurlstime v.20201012
Wed Oct 30 10:13:51 2024: Launching ua_wiper v.20220301
Wed Oct 30 10:13:51 2024: Launching uninstall v.20200916
Wed Oct 30 10:13:51 2024: Launching userassist v.20230710
Wed Oct 30 10:13:51 2024: Launching userextendedproperties v.20220509
Wed Oct 30 10:13:51 2024: Launching wc_shares v.20200916
Wed Oct 30 10:13:51 2024: Launching win11_edge v.20210927
Wed Oct 30 10:13:51 2024: Launching winrar v.20200916
Wed Oct 30 10:13:51 2024: Launching winscp v.20200916
Wed Oct 30 10:13:51 2024: Launching WinZip v.20200803
Wed Oct 30 10:13:51 2024: Launching  wordstartup v.20220529
Wed Oct 30 10:13:51 2024: Launching wordwheelquery v.20200916
